x,y,z
-79.254044,46.265579,-69.473679
-77.094131,31.627127,-85.828094
-76.096283,32.589859,-87.132248
-73.604050,26.671181,-97.293289
-74.817238,25.281967,-96.168144
-74.711983,20.442741,-94.308281
-77.654846,30.102381,-84.355522
-75.574471,19.970207,-60.966995
-77.360199,26.596170,-77.468826
-73.488052,11.210333,-66.424347
-74.570007,17.961140,-88.124916
-73.030991,12.596869,-80.380531
-73.666954,15.181480,-42.864410
-73.690842,6.900721,-53.657272
-75.323730,22.940701,-41.827953
-63.619511,-17.902439,-71.309540
-63.312302,-6.761154,-68.389786
-63.269535,-1.405474,-80.817368
-66.774155,-0.932079,-93.948334
-67.463394,-17.489315,-93.738892
-72.443695,-9.283905,-50.499596
-70.097351,-8.708256,-54.482189
-73.823235,-9.416134,-46.437927
-74.040802,-9.327694,-42.956841
-68.315323,-18.335438,-113.178802
-68.592026,-1.045044,-110.539658
-68.432426,4.095265,-115.579094
-67.075012,4.275146,-120.653282
-66.260010,0.906019,-123.886337
-65.996529,-10.059074,-126.741562
-66.231163,-20.049805,-128.958496
-68.031219,2.522482,-102.733597
-73.881317,21.910376,-107.317947
-73.617630,16.253284,-107.108421
-73.683403,15.977791,-101.125687
-73.013947,23.689556,-107.724609
-72.945938,22.491604,-120.230293
-73.841187,20.736763,-120.420570
-73.836990,15.557148,-120.408035
-73.545929,14.523168,-113.398529
-62.235016,-23.493282,-70.323418
-66.038925,-25.129181,-93.709160
-61.492744,-25.726746,-93.853935
-58.268147,-22.844337,-70.421188
-57.854546,-20.923531,-54.165783
-62.829124,-22.700554,-54.516182
-63.980263,-19.908669,-61.229622
-65.375114,-20.687431,-55.498711
-67.012550,-20.430321,-52.761108
-67.528526,-19.265465,-51.774200
-66.818642,-26.546833,-114.106987
-65.029198,-28.806080,-129.049530
-62.777489,-27.782005,-114.202332
-56.546009,-27.117004,-29.901611
-62.565857,-24.264038,-43.333954
-46.831825,-27.008736,-16.326382
-47.950142,-25.694298,-13.477993
-59.439678,-25.178333,-27.283726
-60.249397,-19.936157,-21.730083
-48.407829,-20.234436,-10.921575
-48.620110,-13.431417,-10.870687
-59.754406,-13.564615,-18.264328
-38.340347,-24.278252,-9.831136
-37.451488,-21.472820,-14.174042
-31.961306,-21.161339,-9.657108
-27.670435,-21.429886,-4.166927
-38.118084,-23.362144,-6.427819
-37.399727,-17.934536,-4.538298
-26.220627,-15.661728,-0.987918
-24.532608,-9.171707,-1.735903
-36.552891,-11.291252,-5.487699
-24.428993,-22.880863,-9.454651
-22.938028,-26.837009,-14.168576
-23.124424,-24.438110,-11.314671
-21.075748,-26.968224,-7.768806
-21.791103,-25.150314,-5.831727
-23.352833,-23.867500,-3.694024
-15.577381,-25.587135,1.238917
-16.369551,-21.460754,2.120374
-17.505457,-27.532726,-2.812679
-18.286570,-25.955612,-1.893685
-13.003523,-28.505684,1.324079
-7.102003,-26.889313,4.939164
-7.733761,-22.499588,6.157342
-8.331688,-17.539841,7.479336
-10.301786,-15.414772,6.334088
-15.055300,-14.357416,2.862086
-13.927290,-6.840630,5.214231
-13.823706,-10.369907,5.459448
-12.955353,-11.064827,7.956535
-13.026627,-6.268509,9.094808
-15.097578,-8.290430,1.028199
-22.577232,-29.426117,-14.772996
-21.048923,-31.586319,-11.732421
-19.697546,-30.611343,-8.846137
-20.426529,-28.985111,-9.045403
-17.344954,-29.500313,-4.177082
-17.419397,-31.350517,-4.868545
-11.881334,-30.582916,0.406189
-13.757719,-32.184601,-0.262655
-8.038820,-32.701286,1.765818
-17.875803,-33.220901,-5.332106
-18.442408,-36.059151,-4.752831
-21.357807,-35.593197,-9.860290
-29.951847,-35.207413,-43.769020
-29.777641,-37.483097,-36.990448
-29.088795,-39.171577,-30.900352
-27.326849,-41.044876,-20.646177
-24.901196,-37.293205,-16.269623
-28.152235,-53.388931,-22.903469
-27.724703,-52.579124,-31.136219
-26.138035,-51.613907,-31.734989
-26.091290,-53.746017,-22.659250
-27.317657,-54.150162,-20.754242
-26.805311,-46.893326,-38.788620
-27.632223,-51.984573,-35.483864
-27.814718,-50.303764,-38.768307
-25.750086,-43.142117,-38.637466
-24.682053,-47.754501,-31.998650
-24.079769,-49.995087,-23.074114
-24.828484,-52.878708,-20.750614
-0.001511,-27.107937,6.225281
-0.006706,-20.923363,7.600895
