x,y,z
-1.976870,0.071791,1.416000
-1.977110,0.070948,1.435970
-1.981590,0.039938,1.611080
-1.988900,0.023154,2.215110
-1.989230,0.060842,2.215660
-1.991900,0.124746,2.178410
-1.988740,0.178125,2.095430
-1.986460,0.196282,1.898430
-1.982960,0.201932,1.820170
-1.984380,0.206939,1.722230
-1.980480,0.204389,1.617190
-1.975670,0.201831,1.439650
-2.160450,0.179061,1.540190
-2.159820,0.142570,1.514170
-2.159100,0.062175,1.510930
-2.184770,0.036892,1.511400
-2.185100,0.035597,1.539370
-2.159430,0.060823,1.538900
-2.159620,0.060091,1.554880
-2.161340,0.053203,1.699180
-2.161150,0.031037,1.698570
-2.167150,0.017275,2.194680
-2.167470,0.053291,2.195190
-2.193480,0.114258,2.164560
-2.167200,0.165063,2.096800
-2.165350,0.181660,1.935260
-2.164600,0.186907,1.870910
-2.163640,0.191156,1.790530
-2.162560,0.188640,1.704460
-2.160730,0.185480,1.558370
-2.497100,0.154447,1.576740
-2.496540,0.123363,1.553380
-2.495930,0.055076,1.550480
-2.495760,0.033646,1.551380
-2.496060,0.032492,1.576350
-2.496230,0.053893,1.575440
-1.115370,0.142652,2.223020
-1.381770,0.052907,2.274140
-2.496410,0.053217,1.590420
-2.497970,0.047201,1.721010
-2.497800,0.028234,1.720480
-2.503230,0.015782,2.169380
-2.503500,0.046264,2.169730
-2.503600,0.098376,2.142180
-2.503200,0.141631,2.080390
-2.501520,0.156068,1.934290
-2.500850,0.160559,1.876410
-2.499980,0.164316,1.803370
-2.499000,0.162154,1.725310
-2.497350,0.159755,1.593390
-0.833966,0.054869,1.078950
-0.829072,0.093522,1.075090
-0.825195,0.226450,1.088860
-0.826036,0.272753,1.125150
-0.826590,0.293540,1.155730
-1.372900,0.073224,1.541710
-1.107190,0.161389,1.547540
0.228742,0.120855,1.563330
0.154360,0.281525,1.566880
-0.776583,0.226040,1.553530
-0.382703,0.240009,1.289870
-0.386312,0.062845,1.284870
-0.425302,0.222900,1.188840
-0.447414,0.138977,1.151210
-0.595979,0.073536,1.282520
-0.660688,0.076528,1.281780
-0.662117,0.238237,1.286280
-0.660734,0.221407,1.185810
-0.659562,0.137632,1.148480
2.091260,0.216788,1.716630
2.093580,0.227356,1.731450
2.093340,0.062481,1.654330
2.080600,0.262172,1.710760
2.085250,0.269525,1.748530
2.093000,0.249859,1.762580
2.080970,0.248012,1.690870
2.079170,0.217164,1.647970
2.082610,0.165015,1.615050
2.080310,0.147130,1.604020
2.080910,0.093229,1.592020
1.865680,0.052081,1.656660
1.844980,0.052071,1.656890
1.843230,0.053971,1.587910
2.078670,0.062767,1.585140
1.974370,0.053001,1.656060
1.843670,0.215820,1.649950
1.842520,0.260826,1.712210
2.080600,0.262172,1.710760
2.080970,0.248012,1.690870
2.079170,0.217164,1.647970
1.841990,0.267844,1.750400
2.085250,0.269525,1.748530
2.094990,0.146771,1.672710
1.843970,0.145329,1.674490
1.844910,0.060998,1.656140
2.093340,0.062481,1.654330
2.093030,0.090562,1.660110
1.842830,0.215349,1.718940
2.094750,0.161510,1.682120
2.091260,0.216788,1.716630
1.841990,0.267844,1.750400
1.841990,0.248129,1.764350
2.093000,0.249859,1.762580
2.085250,0.269525,1.748530
2.080310,0.147130,1.604020
1.842230,0.145784,1.605470
2.082610,0.165015,1.615050
1.843170,0.061337,1.587120
2.080910,0.093229,1.592020
2.078670,0.062767,1.585140
1.974370,0.053001,1.656060
2.072710,0.053355,1.655310
2.093410,0.053741,1.655090
1.844980,0.052071,1.656890
1.865680,0.052081,1.656660
1.844910,0.060998,1.656140
1.843970,0.145329,1.674490
1.842830,0.215349,1.718940
1.841990,0.248129,1.764350
1.841990,0.267844,1.750400
1.842520,0.260826,1.712210
1.843670,0.215820,1.649950
1.842230,0.145784,1.605470
1.843170,0.061337,1.587120
1.843230,0.053971,1.587910
1.844980,0.052071,1.656890
2.078720,0.055396,1.585940
2.073550,0.055282,1.585870
1.975210,0.054927,1.586610
1.866520,0.053993,1.587710
1.843230,0.053971,1.587910
2.093000,0.249859,1.762580
1.841990,0.248129,1.764350
2.093580,0.227356,1.731450
1.919910,-0.018202,1.648680
2.108450,0.057982,1.688410
1.918340,0.133132,1.652720
2.107560,0.129002,1.701330
2.109040,-0.013626,1.697510
-0.974096,-0.174089,1.282770
-0.978617,0.260299,1.294380
-1.012070,-0.160171,1.199440
-1.016350,0.250194,1.210410
1.900860,-0.017120,1.579290
1.901250,-0.087649,1.602460
1.920380,-0.087144,1.664870
1.899270,0.135416,1.583370
1.898210,0.204611,1.610270
1.917380,0.201113,1.672570
1.897170,0.252588,1.651630
1.916620,0.250677,1.691930
-1.042770,-0.114909,1.145110
-1.046120,0.207378,1.153730
1.901230,-0.137760,1.641190
1.920670,-0.137669,1.681550
-1.056160,-0.043482,1.121790
-1.058040,0.137179,1.126620
-0.435808,0.212203,1.162300
-0.447724,0.141904,1.135190
-0.368303,0.265123,1.302950
-0.406032,0.255019,1.218980
-0.401760,-0.155346,1.208010
-0.363781,-0.169264,1.291340
-0.445844,-0.038657,1.130360
-0.432453,-0.110084,1.153680
2.100930,-0.136341,1.650010
2.110450,-0.136168,1.684220
2.090640,-0.015620,1.581960
2.091040,-0.086149,1.605120
2.088000,0.206112,1.612930
2.089050,0.136916,1.586040
2.096860,0.254007,1.660440
2.106410,0.252178,1.694600
2.109520,-0.085923,1.715620
2.106540,0.200332,1.723270
-0.838200,-0.163316,2.278060
-1.107550,-0.105209,2.306970
-0.839564,-0.145619,2.365710
-0.028253,-0.136494,2.388200
0.197379,-0.146270,2.260780
0.156857,-0.196861,2.191710
-1.199130,-0.056631,2.320030
-1.108680,-0.067015,2.362090
-0.300262,-0.188410,2.296860
-0.094617,-0.137896,2.420310
-0.146933,-0.194417,2.193590
-1.234950,0.013355,2.330440
-0.299056,-0.201316,2.217360
-0.009111,-0.212833,2.137880
-0.080639,-0.208482,2.178090
0.061796,-0.212299,2.139880
-0.303639,0.231973,2.308110
-0.097910,0.178386,2.428770
-0.305553,0.180101,2.488080
-0.031545,0.179787,2.396650
0.056774,0.270131,2.152770
0.152169,0.253540,2.203750
-1.109820,0.027650,2.376650
-1.109520,-0.001276,2.375870
-1.110350,0.094029,2.366400
-1.200600,0.084295,2.323800
-0.151518,0.245975,2.205360
-1.110050,0.135005,2.313390
-0.841972,0.199007,2.287750
-0.842919,0.176668,2.374320
0.193774,0.200038,2.270030
-0.302746,0.249094,2.229410
-0.014133,0.269597,2.150770
-0.085536,0.261937,2.190670
-0.302156,-0.146189,2.479350
-0.648951,-0.131728,2.467930
-0.647171,-0.180266,2.372450
-0.840893,-0.101285,2.431020
-0.432783,-0.056453,2.541090
-0.303744,-0.056189,2.529850
-0.431102,-0.146367,2.483580
-0.650601,-0.047473,2.527290
-0.842159,-0.035673,2.475860
0.202971,-0.071675,2.308960
-0.022696,-0.053285,2.432600
0.196766,-0.056615,2.313290
-0.022836,-0.039873,2.432960
-0.645514,-0.192264,2.258910
-0.023363,0.108094,2.435930
0.207825,0.138975,2.310680
-0.651276,0.214086,2.382990
-0.649932,0.232114,2.270250
-0.433092,0.229753,2.351350
-0.431850,0.248596,2.245650
-0.434477,0.177922,2.492250
-0.651857,0.073235,2.530520
-0.843166,0.061013,2.478440
-0.305240,0.087539,2.533690
-0.434257,0.085073,2.544870
0.200943,0.123099,2.314160
-0.024234,0.094447,2.436550
-0.651993,0.160532,2.475740
-0.843290,0.128920,2.437170
-0.087611,0.092742,2.469700
0.195055,0.107731,2.317680
-0.024094,0.081035,2.436190
-0.086080,-0.054389,2.465770
-0.021542,-0.066862,2.431250
0.210180,-0.087227,2.304630
-0.428716,-0.190621,2.340120
-0.427141,-0.203807,2.233560
0.240114,0.026412,2.297080
0.195055,0.107731,2.317680
0.239381,0.103314,2.294120
-0.080639,-0.208482,2.178090
-0.009111,-0.212833,2.137880
-0.135072,-0.229405,2.081370
-0.836652,-0.190861,2.184140
-1.106080,-0.129859,2.217130
-0.838200,-0.163316,2.278060
-0.110792,-0.199898,2.184920
-0.146933,-0.194417,2.193590
0.196766,-0.056615,2.313290
0.240979,-0.050223,2.290020
0.202971,-0.071675,2.308960
-0.021542,-0.066862,2.431250
-0.049868,-0.053598,2.447250
-0.022696,-0.053285,2.432600
-1.353360,-0.048060,2.266020
-1.107550,-0.105209,2.306970
-1.389140,0.013415,2.280200
-1.199130,-0.056631,2.320030
-0.645514,-0.192264,2.258910
-0.425533,-0.224080,2.129810
-0.299056,-0.201316,2.217360
-0.427141,-0.203807,2.233560
0.062570,-0.221983,2.089820
-1.234950,0.013355,2.330440
-1.354650,0.076051,2.269340
-1.110050,0.135005,2.313390
-1.200600,0.084295,2.323800
-1.109150,0.164403,2.225000
-0.841972,0.199007,2.287750
-0.014133,0.269597,2.150770
0.057319,0.282467,2.103300
0.056774,0.270131,2.152770
-0.649932,0.232114,2.270250
-0.430722,0.274364,2.143140
-0.431850,0.248596,2.245650
-0.302746,0.249094,2.229410
-0.140448,0.287055,2.095180
-0.151518,0.245975,2.205360
-0.024094,0.081035,2.436190
-0.051400,0.093533,2.451180
-0.024234,0.094447,2.436550
-0.085536,0.261937,2.190670
-0.115501,0.252505,2.197020
-0.841049,0.231515,2.195440
0.200943,0.123099,2.314160
0.207825,0.138975,2.310680
-0.023363,0.108094,2.435930
0.061796,-0.212299,2.139880
-0.022836,-0.039873,2.432960
0.210180,-0.087227,2.304630
0.177250,-0.204043,2.166750
0.156857,-0.196861,2.191710
0.226369,-0.137821,2.253390
0.197379,-0.146270,2.260780
-0.094617,-0.137896,2.420310
-0.057420,-0.137124,2.402810
-0.060712,0.179158,2.411260
-0.031545,0.179787,2.396650
-0.087611,0.092742,2.469700
-0.086080,-0.054389,2.465770
0.152169,0.253540,2.203750
0.172395,0.262373,2.179220
0.222931,0.192474,2.262220
0.193774,0.200038,2.270030
-0.097910,0.178386,2.428770
-0.028253,-0.136494,2.388200
2.643860,0.071061,1.983480
2.643900,0.083911,1.971100
2.644430,0.054738,1.953280
2.644220,0.036831,1.982560
2.643980,0.053823,1.987630
2.644790,0.020508,1.952370
2.644520,0.024658,1.969510
2.645010,0.038423,1.922790
2.644970,0.025566,1.935470
2.644650,0.072654,1.923700
2.644880,0.055645,1.919240
2.644080,0.088969,1.954200
2.644350,0.084818,1.937060
2.144380,0.278131,1.823090
2.142300,0.309721,1.953190
2.146620,0.186582,1.725460
2.148430,0.057713,1.686950
2.149320,-0.072649,1.718530
2.149040,-0.170268,1.811110
2.147700,-0.208741,1.939330
2.145610,-0.177165,2.069910
2.140940,0.271235,2.081900
2.143370,-0.084602,2.167090
2.140670,0.174629,2.174020
2.141550,0.043893,2.205590
2.593440,0.155033,1.955270
2.592910,0.140277,2.005380
2.362530,0.265417,1.955050
2.492920,0.215398,1.955510
2.361420,0.233555,2.060700
2.492070,0.191225,2.035720
2.192320,0.303109,1.953710
2.191000,0.265725,2.078640
2.491910,0.130498,2.093210
2.592810,0.102362,2.041240
2.190740,0.171188,2.168310
2.361190,0.154413,2.136440
2.593150,0.051659,2.053410
2.361920,0.046865,2.162120
2.492460,0.049254,2.112680
2.191600,0.044500,2.198280
2.493590,-0.030845,2.088900
2.593850,0.001672,2.038550
2.193350,-0.080035,2.161590
2.363410,-0.058777,2.130740
2.594730,-0.034279,2.000710
2.365260,-0.134773,2.050860
2.494980,-0.088024,2.028250
2.195530,-0.169663,2.067000
2.496280,-0.107890,1.946860
2.595530,-0.046046,1.949900
2.197560,-0.200339,1.940250
2.366960,-0.159962,1.943680
2.596060,-0.031600,1.900190
2.368070,-0.129109,1.838290
2.497130,-0.083709,1.866350
2.198880,-0.162947,1.815000
2.497300,-0.023383,1.808850
2.596170,0.006320,1.864130
2.199140,-0.068411,1.725350
2.368300,-0.048958,1.762280
2.595830,0.057040,1.851460
2.367560,0.058190,1.737090
2.496740,0.057853,1.789980
2.198270,0.057894,1.695660
2.495620,0.137961,1.813160
2.595120,0.107010,1.866820
2.196520,0.182813,1.732060
2.366080,0.164232,1.767980
2.594240,0.142955,1.904850
2.364240,0.239219,1.848140
2.494220,0.195539,1.873820
2.194340,0.272441,1.826640
-2.986920,-1.354120,1.977630
-3.026800,-1.384940,1.993980
-2.937340,-1.344240,1.998320
-3.176930,-1.335630,1.976400
-3.177400,-1.336570,2.011840
-3.186780,-1.366080,1.988570
-3.407090,-1.307630,1.981880
-3.204850,1.346760,2.048100
-3.055760,1.397540,2.068370
-3.215330,1.376360,2.061880
-3.205320,1.345820,2.083550
-3.075720,1.366780,2.089110
-3.015730,1.367360,2.085950
-3.434390,1.314710,2.051980
-2.965470,1.358170,2.070560
-3.015260,1.368300,2.050400
-3.047380,-1.355650,2.016330
-2.987500,-1.345060,2.013440
-3.191140,-0.054405,2.075270
-3.600120,-0.021171,2.001360
-3.189830,-0.064245,1.985960
-2.839780,-0.101059,1.987650
-2.841220,-0.079015,2.077550
-2.750460,-0.109677,2.038290
-2.962860,0.077619,2.089800
-2.843010,0.092538,2.082130
-2.842080,0.119137,1.993540
-2.752920,0.126534,2.044610
-3.191300,0.076881,1.989730
-3.600620,0.026271,2.002630
-3.192360,0.062299,2.078390
-2.961360,-0.066509,2.085940
-3.987180,0.005010,1.789070
-3.686520,-0.004737,1.728830
-3.686810,0.022887,1.729560
-3.703230,-0.024193,2.977750
-4.002550,-0.025860,2.947510
-3.703440,-0.004278,2.978280
-3.703020,-0.044013,2.977220
-3.686940,-0.005564,1.759860
-4.047540,0.003684,1.820260
-3.687670,-0.007032,1.814930
-4.097990,0.002276,1.857610
-3.688850,-0.009401,1.903840
-4.118630,0.000780,1.907590
-3.687950,0.020593,1.815670
-3.689130,0.018224,1.904580
-3.691210,0.014043,2.061480
-4.130230,-0.002525,2.028500
-3.690420,0.014819,2.002280
-4.129560,-0.001175,1.977860
-3.687220,0.022060,1.760600
-3.690930,-0.013582,2.060740
-3.690150,-0.011204,2.001590
1.259310,0.312230,1.902260
1.259990,0.310998,1.948520
1.220030,0.310651,1.949090
1.265550,-0.222274,1.934150
1.264870,-0.221042,1.887890
1.225590,-0.222621,1.934720
1.264890,-0.223820,1.887820
1.384730,-0.220003,1.886210
1.984040,-0.214807,1.877760
1.983980,-0.208326,1.877930
1.924050,-0.209771,1.878750
1.305830,-0.253406,1.932740
1.604480,-0.218098,1.883110
1.774260,-0.214774,1.880760
1.925210,-0.191870,1.971920
1.985410,-0.217273,1.970370
1.775420,-0.196872,1.973930
1.605690,-0.205751,1.976120
1.415940,-0.211100,1.978700
1.266160,-0.217028,1.980680
1.266230,-0.223509,1.980510
1.955090,-0.247776,1.923590
1.385410,-0.221235,1.932460
1.505270,-0.220196,1.930770
1.625140,-0.219156,1.929080
1.745000,-0.218117,1.927390
1.864860,-0.217078,1.925710
1.948870,0.348452,1.939660
1.619580,0.314116,1.943450
1.739440,0.315155,1.941760
1.379850,0.312037,1.946830
1.499710,0.313076,1.945140
1.299610,0.342822,1.948810
1.979850,0.315999,1.984740
1.410620,0.299953,1.992470
1.260740,0.303283,1.994700
1.770320,0.291961,1.987100
1.600440,0.297895,1.989690
1.979980,0.303038,1.984390
1.920190,0.289557,1.984890
1.978480,0.318465,1.892130
1.768740,0.314795,1.895040
1.918610,0.312391,1.892820
1.979170,0.317234,1.938390
2.009130,0.317493,1.937960
1.859300,0.316194,1.940080
1.978550,0.311985,1.891950
1.259280,0.315007,1.902340
1.379170,0.313269,1.900580
1.598920,0.315174,1.897480
1.260670,0.309763,1.994880
1.985270,-0.204311,1.970720
1.984720,-0.216038,1.924020
2.014690,-0.215779,1.923590
1.864180,-0.215846,1.879450
1.858620,0.317426,1.893820
1.738760,0.316387,1.895510
1.618900,0.315348,1.897200
1.499030,0.314308,1.898890
1.504590,-0.218964,1.884520
1.624450,-0.217925,1.882830
1.744320,-0.216885,1.881140
1.984770,-0.220668,1.923890
1.865200,-0.271290,1.908810
1.865200,-0.249481,1.924830
1.864910,-0.221707,1.925580
1.745340,-0.272330,1.910500
1.745340,-0.250521,1.926520
1.625250,-0.272958,1.896770
1.625480,-0.273369,1.912190
1.745050,-0.222746,1.927270
1.505390,-0.273998,1.898460
1.505620,-0.274408,1.913880
1.625180,-0.223785,1.928960
1.385530,-0.275037,1.900150
1.385750,-0.275448,1.915570
1.505320,-0.224825,1.930650
1.864980,-0.270880,1.893400
1.864520,-0.248250,1.878570
1.745110,-0.271919,1.895080
1.744660,-0.249289,1.880260
1.624790,-0.250328,1.881950
1.504930,-0.251368,1.883640
1.385070,-0.252407,1.885330
1.265660,-0.276076,1.901840
1.385460,-0.225864,1.932340
1.265200,-0.253446,1.887020
1.259200,0.365106,1.934550
1.379800,0.316666,1.946960
1.259650,0.343402,1.949400
1.379060,0.366145,1.932860
1.499670,0.317706,1.945270
1.379510,0.344441,1.947710
1.498930,0.367185,1.931170
1.619530,0.318745,1.943580
1.499380,0.345480,1.946020
1.618790,0.368224,1.929480
1.739390,0.319784,1.941890
1.619240,0.346519,1.944330
1.738430,0.369674,1.912370
1.859250,0.320823,1.940200
1.738650,0.369263,1.927790
1.858290,0.370713,1.910680
1.979120,0.321863,1.938510
1.858520,0.370302,1.926100
1.378840,0.366556,1.917440
1.498700,0.367595,1.915750
1.618560,0.368634,1.914060
1.739100,0.347559,1.942640
1.858970,0.348598,1.940950
1.258970,0.365517,1.919130
1.858280,0.349830,1.894690
1.738420,0.348791,1.896380
1.618560,0.347751,1.898070
1.498690,0.346712,1.899760
1.378830,0.345673,1.901450
1.258970,0.344633,1.903140
1.265890,-0.276487,1.917260
1.265890,-0.254678,1.933280
1.385750,-0.253639,1.931590
1.505610,-0.252599,1.929900
1.625470,-0.251560,1.928210
1.414720,-0.222521,1.885710
1.409110,0.316306,1.900230
1.225550,-0.217992,1.934840
2.014570,-0.203743,1.923920
2.009270,0.304532,1.937610
1.220080,0.306022,1.948960
2.140070,-0.046234,1.715890
2.134490,0.020144,1.703170
2.098470,0.018615,1.687170
2.101510,-0.053285,1.700700
2.134270,0.053978,1.698120
2.098230,0.055201,1.681690
